locality,region,pop,proper
alabaster,al,33873,Alabaster
albertville,al,22726,Albertville
anniston,al,21182,Anniston
athens,al,28661,Athens
auburn,al,80006,Auburn
bessemer,al,25264,Bessemer
birmingham,al,196910,Birmingham
daphne,al,29670,Daphne
decatur,al,57922,Decatur
dothan,al,71235,Dothan
enterprise,al,29767,Enterprise
fairhope,al,23859,Fairhope
florence,al,41690,Florence
foley,al,23577,Foley
gadsden,al,33335,Gadsden
helena,al,21862,Helena
homewood,al,27864,Homewood
hoover,al,92435,Hoover
huntsville,al,221933,Huntsville
madison,al,59785,Madison
mobile,al,183289,Mobile
montgomery,al,196986,Montgomery
mountain-brook,al,21955,Mountain Brook
northport,al,31004,Northport
opelika,al,32787,Opelika
oxford,al,22002,Oxford
pelham,al,24755,Pelham
phenix-city,al,38267,Phenix City
prattville,al,38776,Prattville
trussville,al,26520,Trussville
tuscaloosa,al,110602,Tuscaloosa
vestavia-hills,al,38292,Vestavia Hills
anchorage,ak,287145,Anchorage
fairbanks,ak,32107,Fairbanks
juneau-and,ak,31685,Juneau and
apache-junction,az,40173,Apache Junction
avondale,az,91617,Avondale
buckeye,az,105567,Buckeye
bullhead-city,az,42920,Bullhead City
casa-grande,az,60032,Casa Grande
chandler,az,280711,Chandler
el-mirage,az,35985,El Mirage
flagstaff,az,75907,Flagstaff
florence,az,24795,Florence
fountain-hills,az,23785,Fountain Hills
gilbert,az,275346,Gilbert
glendale,az,252136,Glendale
goodyear,az,105406,Goodyear
kingman,az,34918,Kingman
lake-havasu-city,az,58926,Lake Havasu City
marana,az,55962,Marana
maricopa,az,66290,Maricopa
mesa,az,512498,Mesa
oro-valley,az,48226,Oro Valley
peoria,az,197866,Peoria
phoenix,az,1644409,Phoenix
prescott,az,47603,Prescott
prescott-valley,az,49075,Prescott Valley
queen-creek,az,70734,Queen Creek
sahuarita,az,35638,Sahuarita
san-luis,az,35770,San Luis
scottsdale,az,243050,Scottsdale
sierra-vista,az,45439,Sierra Vista
surprise,az,154198,Surprise
tempe,az,185950,Tempe
tucson,az,546574,Tucson
yuma,az,98527,Yuma
bella-vista,ar,31733,Bella Vista
benton,ar,36593,Benton
bentonville,ar,57868,Bentonville
bryant,ar,21501,Bryant
cabot,ar,26844,Cabot
centerton,ar,21525,Centerton
conway,ar,67617,Conway
fayetteville,ar,99285,Fayetteville
fort-smith,ar,89992,Fort Smith
hot-springs,ar,38109,Hot Springs
jacksonville,ar,29130,Jacksonville
jonesboro,ar,79876,Jonesboro
little-rock,ar,202864,Little Rock
north-little-rock,ar,64627,North Little Rock
paragould,ar,30178,Paragould
pine-bluff,ar,39495,Pine Bluff
rogers,ar,72999,Rogers
russellville,ar,29133,Russellville
searcy,ar,23009,Searcy
sherwood,ar,33082,Sherwood
springdale,ar,87672,Springdale
texarkana,ar,29306,Texarkana
van-buren,ar,23755,Van Buren
west-memphis,ar,23795,West Memphis
adelanto,ca,38783,Adelanto
alameda,ca,76040,Alameda
alhambra,ca,80259,Alhambra
aliso-viejo,ca,51221,Aliso Viejo
american-canyon,ca,21432,American Canyon
anaheim,ca,344461,Anaheim
antioch,ca,115264,Antioch
apple-valley,ca,75867,Apple Valley
arcadia,ca,54857,Arcadia
atascadero,ca,29684,Atascadero
atwater,ca,32372,Atwater
azusa,ca,48824,Azusa
bakersfield,ca,410647,Bakersfield
baldwin-park,ca,69455,Baldwin Park
banning,ca,30683,Banning
barstow,ca,25231,Barstow
beaumont,ca,56349,Beaumont
bell,ca,32466,Bell
bell-gardens,ca,37927,Bell Gardens
bellflower,ca,76405,Bellflower
belmont,ca,26773,Belmont
benicia,ca,26567,Benicia
berkeley,ca,118950,Berkeley
beverly-hills,ca,31326,Beverly Hills
brawley,ca,26862,Brawley
brea,ca,46993,Brea
brentwood,ca,66127,Brentwood
buena-park,ca,82450,Buena Park
burbank,ca,103920,Burbank
burlingame,ca,30559,Burlingame
calabasas,ca,22491,Calabasas
calexico,ca,38249,Calexico
camarillo,ca,70282,Camarillo
campbell,ca,42286,Campbell
carlsbad,ca,114160,Carlsbad
carson,ca,92388,Carson
cathedral-city,ca,52494,Cathedral City
ceres,ca,48988,Ceres
cerritos,ca,47475,Cerritos
chico,ca,101299,Chico
chino,ca,93140,Chino
chino-hills,ca,77949,Chino Hills
chula-vista,ca,279170,Chula Vista
citrus-heights,ca,86433,Citrus Heights
claremont,ca,36001,Claremont
clovis,ca,124556,Clovis
coachella,ca,42835,Coachella
colton,ca,53918,Colton
compton,ca,91988,Compton
concord,ca,122625,Concord
corcoran,ca,22837,Corcoran
corona,ca,159567,Corona
costa-mesa,ca,109521,Costa Mesa
covina,ca,49489,Covina
cudahy,ca,21969,Cudahy
culver-city,ca,39515,Culver City
cupertino,ca,57856,Cupertino
cypress,ca,49243,Cypress
daly-city,ca,100007,Daly City
dana-point,ca,32465,Dana Point
danville,ca,42732,Danville
davis,ca,67048,Davis
delano,ca,50843,Delano
desert-hot-springs,ca,33091,Desert Hot Springs
diamond-bar,ca,52855,Diamond Bar
dinuba,ca,25285,Dinuba
downey,ca,109934,Downey
duarte,ca,21807,Duarte
dublin,ca,72060,Dublin
east-palo-alto,ca,28383,East Palo Alto
eastvale,ca,71024,Eastvale
el-cajon,ca,104414,El Cajon
el-centro,ca,43811,El Centro
el-cerrito,ca,25583,El Cerrito
el-monte,ca,105312,El Monte
el-paso-de-robles-paso-robles,ca,31544,El Paso de Robles (Paso Robles)
elk-grove,ca,177558,Elk Grove
encinitas,ca,61369,Encinitas
escondido,ca,150270,Escondido
eureka,ca,26129,Eureka
fairfield,ca,119338,Fairfield
folsom,ca,83269,Folsom
fontana,ca,212475,Fontana
foster-city,ca,32026,Foster City
fountain-valley,ca,55930,Fountain Valley
fremont,ca,223871,Fremont
fresno,ca,545567,Fresno
fullerton,ca,140541,Fullerton
galt,ca,25411,Galt
garden-grove,ca,169254,Garden Grove
gardena,ca,58843,Gardena
gilroy,ca,58005,Gilroy
glendale,ca,189221,Glendale
glendora,ca,50824,Glendora
goleta,ca,32432,Goleta
hanford,ca,58470,Hanford
hawthorne,ca,84563,Hawthorne
hayward,ca,156754,Hayward
hemet,ca,90689,Hemet
hercules,ca,25920,Hercules
hesperia,ca,100744,Hesperia
highland,ca,56705,Highland
hollister,ca,44218,Hollister
huntington-beach,ca,194310,Huntington Beach
huntington-park,ca,52633,Huntington Park
imperial,ca,21233,Imperial
imperial-beach,ca,25791,Imperial Beach
indio,ca,91980,Indio
inglewood,ca,103621,Inglewood
irvine,ca,313685,Irvine
jurupa-valley,ca,107609,Jurupa Valley
la-habra,ca,61978,La Habra
la-mesa,ca,60360,La Mesa
la-mirada,ca,46323,La Mirada
la-puente,ca,36636,La Puente
la-quinta,ca,38392,La Quinta
la-verne,ca,30380,La Verne
lafayette,ca,25044,Lafayette
laguna-beach,ca,22583,Laguna Beach
laguna-hills,ca,30568,Laguna Hills
laguna-niguel,ca,63742,Laguna Niguel
lake-elsinore,ca,71898,Lake Elsinore
lake-forest,ca,85638,Lake Forest
lakewood,ca,79063,Lakewood
lancaster,ca,169185,Lancaster
lathrop,ca,33670,Lathrop
lawndale,ca,30576,Lawndale
lemon-grove,ca,27224,Lemon Grove
lemoore,ca,27185,Lemoore
lincoln,ca,52534,Lincoln
livermore,ca,84701,Livermore
lodi,ca,67258,Lodi
loma-linda,ca,25129,Loma Linda
lomita,ca,20053,Lomita
lompoc,ca,43736,Lompoc
long-beach,ca,451307,Long Beach
los-altos,ca,30424,Los Altos
los-angeles,ca,3822238,Los Angeles
los-banos,ca,47044,Los Banos
los-gatos,ca,32402,Los Gatos
lynwood,ca,64086,Lynwood
madera,ca,68050,Madera
manhattan-beach,ca,34137,Manhattan Beach
manteca,ca,86928,Manteca
marina,ca,22503,Marina
martinez,ca,36447,Martinez
maywood,ca,24122,Maywood
menifee,ca,109399,Menifee
menlo-park,ca,32295,Menlo Park
merced,ca,91563,Merced
millbrae,ca,22071,Millbrae
milpitas,ca,77738,Milpitas
mission-viejo,ca,91776,Mission Viejo
modesto,ca,218069,Modesto
monrovia,ca,36893,Monrovia
montclair,ca,37714,Montclair
montebello,ca,60569,Montebello
monterey,ca,29571,Monterey
monterey-park,ca,58554,Monterey Park
moorpark,ca,35514,Moorpark
moreno-valley,ca,211924,Moreno Valley
morgan-hill,ca,44973,Morgan Hill
mountain-view,ca,81059,Mountain View
murrieta,ca,113783,Murrieta
napa,ca,78315,Napa
national-city,ca,55550,National City
newark,ca,47312,Newark
newport-beach,ca,83993,Newport Beach
norco,ca,25042,Norco
norwalk,ca,98537,Norwalk
novato,ca,52184,Novato
oakdale,ca,23176,Oakdale
oakland,ca,430553,Oakland
oakley,ca,44688,Oakley
oceanside,ca,172199,Oceanside
ontario,ca,179061,Ontario
orange,ca,136178,Orange
oroville,ca,20041,Oroville
oxnard,ca,200415,Oxnard
pacifica,ca,36517,Pacifica
palm-desert,ca,51583,Palm Desert
palm-springs,ca,45223,Palm Springs
palmdale,ca,163463,Palmdale
palo-alto,ca,66010,Palo Alto
paramount,ca,51653,Paramount
pasadena,ca,134211,Pasadena
patterson,ca,23833,Patterson
perris,ca,80263,Perris
petaluma,ca,58652,Petaluma
pico-rivera,ca,59781,Pico Rivera
pittsburg,ca,77572,Pittsburg
placentia,ca,51951,Placentia
pleasant-hill,ca,33913,Pleasant Hill
pleasanton,ca,76689,Pleasanton
pomona,ca,146017,Pomona
port-hueneme,ca,21407,Port Hueneme
porterville,ca,62998,Porterville
poway,ca,48078,Poway
rancho-cordova,ca,80598,Rancho Cordova
rancho-cucamonga,ca,176336,Rancho Cucamonga
rancho-palos-verdes,ca,40527,Rancho Palos Verdes
rancho-santa-margarita,ca,46722,Rancho Santa Margarita
redding,ca,92906,Redding
redlands,ca,73849,Redlands
redondo-beach,ca,68918,Redondo Beach
redwood-city,ca,80512,Redwood City
reedley,ca,25441,Reedley
rialto,ca,103545,Rialto
richmond,ca,114301,Richmond
ridgecrest,ca,28346,Ridgecrest
riverbank,ca,24826,Riverbank
riverside,ca,320764,Riverside
rocklin,ca,73857,Rocklin
rohnert-park,ca,44326,Rohnert Park
rosemead,ca,49791,Rosemead
roseville,ca,154817,Roseville
sacramento,ca,528001,Sacramento
salinas,ca,161020,Salinas
san-bernardino,ca,220328,San Bernardino
san-bruno,ca,41533,San Bruno
san-buenaventura-ventura,ca,109527,San Buenaventura (Ventura)
san-carlos,ca,29586,San Carlos
san-clemente,ca,63457,San Clemente
san-diego,ca,1381162,San Diego
san-dimas,ca,33535,San Dimas
san-fernando,ca,23685,San Fernando
san-francisco,ca,808437,San Francisco
san-gabriel,ca,38140,San Gabriel
san-jacinto,ca,55470,San Jacinto
san-jose,ca,971233,San Jose
san-juan-capistrano,ca,34548,San Juan Capistrano
san-leandro,ca,86762,San Leandro
san-luis-obispo,ca,48341,San Luis Obispo
san-marcos,ca,94854,San Marcos
san-mateo,ca,100984,San Mateo
san-pablo,ca,31389,San Pablo
san-rafael,ca,59971,San Rafael
san-ramon,ca,85953,San Ramon
sanger,ca,26600,Sanger
santa-ana,ca,308189,Santa Ana
santa-barbara,ca,87533,Santa Barbara
santa-clara,ca,126930,Santa Clara
santa-clarita,ca,221345,Santa Clarita
santa-cruz,ca,61800,Santa Cruz
santa-maria,ca,110125,Santa Maria
santa-monica,ca,89947,Santa Monica
santa-paula,ca,31018,Santa Paula
santa-rosa,ca,177181,Santa Rosa
santee,ca,59051,Santee
saratoga,ca,29903,Saratoga
seal-beach,ca,24627,Seal Beach
seaside,ca,31478,Seaside
selma,ca,24430,Selma
shafter,ca,21282,Shafter
simi-valley,ca,124398,Simi Valley
soledad,ca,24190,Soledad
south-gate,ca,90926,South Gate
south-lake-tahoe,ca,21175,South Lake Tahoe
south-pasadena,ca,25850,South Pasadena
south-san-francisco,ca,63484,South San Francisco
stanton,ca,38952,Stanton
stockton,ca,321819,Stockton
suisun-city,ca,28949,Suisun City
sunnyvale,ca,153091,Sunnyvale
temecula,ca,111752,Temecula
temple-city,ca,35296,Temple City
thousand-oaks,ca,124265,Thousand Oaks
torrance,ca,141126,Torrance
tracy,ca,97328,Tracy
tulare,ca,70693,Tulare
turlock,ca,72309,Turlock
tustin,ca,78418,Tustin
twentynine-palms,ca,28158,Twentynine Palms
union-city,ca,67039,Union City
upland,ca,78841,Upland
vacaville,ca,101918,Vacaville
vallejo,ca,123564,Vallejo
victorville,ca,137221,Victorville
visalia,ca,143966,Visalia
vista,ca,97766,Vista
walnut,ca,27356,Walnut
walnut-creek,ca,68969,Walnut Creek
wasco,ca,27731,Wasco
watsonville,ca,51525,Watsonville
west-covina,ca,105013,West Covina
west-hollywood,ca,34514,West Hollywood
west-sacramento,ca,55064,West Sacramento
westminster,ca,89397,Westminster
whittier,ca,84496,Whittier
wildomar,ca,37214,Wildomar
windsor,ca,25789,Windsor
woodland,ca,61462,Woodland
yorba-linda,ca,67089,Yorba Linda
yuba-city,ca,69014,Yuba City
yucaipa,ca,54420,Yucaipa
yucca-valley,ca,21662,Yucca Valley
arvada,co,121581,Arvada
aurora,co,393537,Aurora
boulder,co,105485,Boulder
brighton,co,41881,Brighton
broomfield,co,76121,Broomfield
castle-rock,co,80191,Castle Rock
centennial,co,105865,Centennial
colorado-springs,co,486248,Colorado Springs
commerce-city,co,66115,Commerce City
denver,co,713252,Denver
englewood,co,33642,Englewood
erie,co,33104,Erie
evans,co,22619,Evans
fort-collins,co,169249,Fort Collins
fountain,co,28907,Fountain
golden,co,20460,Golden
grand-junction,co,68034,Grand Junction
greeley,co,109209,Greeley
lafayette,co,30699,Lafayette
lakewood,co,156120,Lakewood
littleton,co,44755,Littleton
longmont,co,98687,Longmont
louisville,co,20560,Louisville
loveland,co,77884,Loveland
montrose,co,21003,Montrose
northglenn,co,38106,Northglenn
parker,co,61222,Parker
pueblo,co,111456,Pueblo
thornton,co,143282,Thornton
westminster,co,114533,Westminster
wheat-ridge,co,31879,Wheat Ridge
windsor,co,38510,Windsor
bridgeport,ct,148377,Bridgeport
bristol,ct,61330,Bristol
danbury,ct,86967,Danbury
hartford,ct,120686,Hartford
meriden,ct,60242,Meriden
middletown,ct,48729,Middletown
milford,ct,50471,Milford
naugatuck,ct,31705,Naugatuck
new-britain,ct,74396,New Britain
new-haven,ct,138915,New Haven
new-london,ct,27980,New London
norwalk,ct,91401,Norwalk
norwich,ct,40009,Norwich
shelton,ct,41897,Shelton
stamford,ct,136188,Stamford
torrington,ct,35563,Torrington
waterbury,ct,115016,Waterbury
west-haven,ct,55004,West Haven
dover,de,38594,Dover
middletown,de,24698,Middletown
newark,de,30453,Newark
wilmington,de,71569,Wilmington
washington,dc,671803,Washington
altamonte-springs,fl,45538,Altamonte Springs
apopka,fl,57017,Apopka
aventura,fl,38930,Aventura
boca-raton,fl,99009,Boca Raton
bonita-springs,fl,56370,Bonita Springs
boynton-beach,fl,80859,Boynton Beach
bradenton,fl,56961,Bradenton
cape-coral,fl,216992,Cape Coral
casselberry,fl,29901,Casselberry
clearwater,fl,117027,Clearwater
clermont,fl,46506,Clermont
coconut-creek,fl,57348,Coconut Creek
cooper-city,fl,34106,Cooper City
coral-gables,fl,49193,Coral Gables
coral-springs,fl,133369,Coral Springs
crestview,fl,28234,Crestview
cutler-bay,fl,43958,Cutler Bay
dania-beach,fl,31658,Dania Beach
davie,fl,106513,Davie
daytona-beach,fl,77958,Daytona Beach
debary,fl,22956,DeBary
deerfield-beach,fl,86772,Deerfield Beach
deland,fl,41324,DeLand
delray-beach,fl,67030,Delray Beach
deltona,fl,97267,Deltona
doral,fl,76983,Doral
dunedin,fl,36059,Dunedin
edgewater,fl,23506,Edgewater
estero,fl,37730,Estero
eustis,fl,23961,Eustis
fort-lauderdale,fl,183146,Fort Lauderdale
fort-myers,fl,95949,Fort Myers
fort-pierce,fl,48305,Fort Pierce
fort-walton-beach,fl,20998,Fort Walton Beach
gainesville,fl,145214,Gainesville
greenacres,fl,43795,Greenacres
groveland,fl,22374,Groveland
haines-city,fl,33629,Haines City
hallandale-beach,fl,41202,Hallandale Beach
hialeah,fl,220292,Hialeah
hialeah-gardens,fl,22364,Hialeah Gardens
hollywood,fl,152650,Hollywood
homestead,fl,81562,Homestead
jacksonville,fl,971319,Jacksonville
jacksonville-beach,fl,23521,Jacksonville Beach
jupiter,fl,61126,Jupiter
key-west,fl,25597,Key West
kissimmee,fl,80003,Kissimmee
lake-worth-beach,fl,43201,Lake Worth Beach
lakeland,fl,120071,Lakeland
largo,fl,82487,Largo
lauderdale-lakes,fl,35799,Lauderdale Lakes
lauderhill,fl,73633,Lauderhill
leesburg,fl,29178,Leesburg
lynn-haven,fl,20044,Lynn Haven
margate,fl,58209,Margate
melbourne,fl,86441,Melbourne
miami,fl,449514,Miami
miami-beach,fl,80017,Miami Beach
miami-gardens,fl,110497,Miami Gardens
miami-lakes,fl,30830,Miami Lakes
miramar,fl,137228,Miramar
new-smyrna-beach,fl,32119,New Smyrna Beach
north-lauderdale,fl,44541,North Lauderdale
north-miami,fl,58906,North Miami
north-miami-beach,fl,43023,North Miami Beach
north-port,fl,85099,North Port
oakland-park,fl,43824,Oakland Park
ocala,fl,65478,Ocala
ocoee,fl,48198,Ocoee
orlando,fl,316081,Orlando
ormond-beach,fl,44052,Ormond Beach
oviedo,fl,39580,Oviedo
palm-bay,fl,129234,Palm Bay
palm-beach-gardens,fl,60175,Palm Beach Gardens
palm-coast,fl,98411,Palm Coast
palm-springs,fl,26844,Palm Springs
palmetto-bay,fl,24237,Palmetto Bay
panama-city,fl,34690,Panama City
parkland,fl,36895,Parkland
pembroke-pines,fl,169876,Pembroke Pines
pensacola,fl,53876,Pensacola
pinellas-park,fl,53653,Pinellas Park
plant-city,fl,40367,Plant City
plantation,fl,96042,Plantation
pompano-beach,fl,112302,Pompano Beach
port-orange,fl,64870,Port Orange
port-st-lucie,fl,231790,Port St. Lucie
punta-gorda,fl,20608,Punta Gorda
riviera-beach,fl,38344,Riviera Beach
rockledge,fl,28490,Rockledge
royal-palm-beach,fl,39259,Royal Palm Beach
sanford,fl,63154,Sanford
sarasota,fl,57376,Sarasota
sebastian,fl,26364,Sebastian
st-cloud,fl,64489,St. Cloud
st-petersburg,fl,261256,St. Petersburg
sunny-isles-beach,fl,21996,Sunny Isles Beach
sunrise,fl,96306,Sunrise
tallahassee,fl,201731,Tallahassee
tamarac,fl,71912,Tamarac
tampa,fl,398173,Tampa
tarpon-springs,fl,25890,Tarpon Springs
tavares,fl,20372,Tavares
temple-terrace,fl,27207,Temple Terrace
titusville,fl,49319,Titusville
venice,fl,27272,Venice
wellington,fl,61438,Wellington
west-melbourne,fl,28837,West Melbourne
west-palm-beach,fl,120932,West Palm Beach
weston,fl,67677,Weston
winter-garden,fl,47049,Winter Garden
winter-haven,fl,55024,Winter Haven
winter-park,fl,29816,Winter Park
winter-springs,fl,38705,Winter Springs
acworth,ga,22276,Acworth
albany,ga,67192,Albany
alpharetta,ga,67267,Alpharetta
athens,ga,128561,Athens
atlanta,ga,499127,Atlanta
augusta,ga,202096,Augusta
brookhaven,ga,57934,Brookhaven
canton,ga,35809,Canton
carrollton,ga,27262,Carrollton
cartersville,ga,23904,Cartersville
chamblee,ga,29869,Chamblee
columbus,ga,202616,Columbus
dalton,ga,34366,Dalton
decatur,ga,24338,Decatur
douglasville,ga,37948,Douglasville
duluth,ga,32034,Duluth
dunwoody,ga,52201,Dunwoody
east-point,ga,38380,East Point
gainesville,ga,45282,Gainesville
griffin,ga,23693,Griffin
hinesville,ga,35441,Hinesville
johns-creek,ga,82453,Johns Creek
kennesaw,ga,33552,Kennesaw
lagrange,ga,31773,LaGrange
lawrenceville,ga,30588,Lawrenceville
macon-bibb-county,ga,156197,Macon-Bibb County
marietta,ga,62602,Marietta
mcdonough,ga,30340,McDonough
milton,ga,41836,Milton
newnan,ga,44485,Newnan
peachtree-city,ga,39562,Peachtree City
peachtree-corners,ga,42133,Peachtree Corners
perry,ga,23538,Perry
pooler,ga,28766,Pooler
rome,ga,37913,Rome
roswell,ga,92950,Roswell
sandy-springs,ga,107763,Sandy Springs
savannah,ga,148004,Savannah
smyrna,ga,56160,Smyrna
snellville,ga,22024,Snellville
south-fulton,ga,111158,South Fulton
statesboro,ga,34353,Statesboro
stockbridge,ga,29064,Stockbridge
stonecrest,ga,61087,Stonecrest
sugar-hill,ga,25407,Sugar Hill
suwanee,ga,22477,Suwanee
tucker,ga,36969,Tucker
union-city,ga,27895,Union City
valdosta,ga,55074,Valdosta
warner-robins,ga,82175,Warner Robins
woodstock,ga,37350,Woodstock
urban-honolulu-cdp,hi,343421,Urban Honolulu CDP
boise-city,id,236634,Boise City
caldwell,id,65920,Caldwell
coeur-dalene,id,56733,Coeur d'Alene
eagle,id,32399,Eagle
idaho-falls,id,67723,Idaho Falls
